ranking,name,age,weight,gender,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
C,Brandon Moreno,27,125,Male,67,8,2,2,,19,5,2,
1,Deiveson Figueiredo,33,125,Male,65,9,2,1,,20,2,1,
2,Askar Askarov,29,125,Male,65,3,0,1,,14,0,1,
3,Alexandre Pantoja,31,125,Male,65,8,3,,,24,5,,
4,Alex Perez,29,125,Male,64,6,2,,,24,6,,
5,Brandon Royval,29,125,Male,67,2,2,,,12,6,,
6,Kai Kara-France,28,125,Male,65,5,2,,,22,9,,1
7,Rogerio Bontorin,29,125,Male,65,3,2,,,17,3,,1
8,Matheus Nicolau,28,125,Male,66,5,1,,,17,2,1,
9,Matt Schnell,31,125,Male,68,5,4,,,15,6,,
10,David Dvorak,29,125,Male,65,3,0,,,20,3,,
11,Tim Elliott,34,125,Male,67,6,10,,,16,13,1,
12,Su Mudaerji,25,125,Male,68,3,1,,,14,4,,
13,Amir Albazi,28,125,Male,65,2,0,,,14,1,,
14,Tagir Ulanbekov,28,125,Male,66,2,0,,,13,1,,
15,Tyson Nam,38,125,Male,67,2,3,,,20,12,1,
C,Aljamain Sterling,32,135,Male,67,12,3,,,20,3,,
1,Petr Yan,28,135,Male,67,8,1,,,16,2,,
2,Tj Dillashaw,35,135,Male,66,13,4,,,17,4,,
3,Cory Sandhagen,29,135,Male,71,7,3,,,14,4,,
4,Rob Font,34,135,Male,68,9,3,,,19,4,,
5,Jose Aldo,35,135,Male,67,20,6,,,30,7,,
6,Merab Dvalishvili,30,135,Male,66,7,2,,,14,4,,
7,Cody Garbrandt,30,135,Male,67,7,4,,,12,4,,
8,Pedro Munhoz,35,135,Male,66,9,6,,1,19,6,,1
9,Marlon Moraes,33,135,Male,66,5,5,,,23,9,1,
10,Dominick Cruz,36,135,Male,68,13,3,,,23,3,,
11,Marlon Vera,28,135,Male,68,12,6,,,18,7,1,
12,Raphael Assuncao,39,135,Male,65,14,7,,,27,8,,
13,Frankie Edgar,40,135,Male,66,18,10,1,,24,10,1,
14,Song Yadong,23,135,Male,66,7,1,1,,18,5,1,1
15,Cody Stamann,32,135,Male,66,5,3,1,,19,4,1,
C,Alexander Volkanovski,33,145,Male,66,10,0,,,23,1,,
1,Max Holloway,29,145,Male,71,19,6,,,23,6,,
2,Brian Ortega,30,145,Male,68,7,2,,1,15,2,,1
3,Yair Rodriguez,29,145,Male,71,8,2,,1,13,3,,1
4,Chan Sung Jung,34,145,Male,69,7,5,,,17,6,,
5,Calvin Kattar,33,145,Male,71,6,3,,,22,5,,
6,Arnold Allen,27,145,Male,68,8,0,,,17,1,,
7,Josh Emmett,36,145,Male,67,7,2,,,16,2,,
8,Giga Chikadze,33,145,Male,72,7,0,,,14,2,,
9,Dan Ige,30,145,Male,67,7,3,,,15,4,,
10,Edson Barboza,35,145,Male,71,16,10,,,22,10,,
11,Bryce Mitchell,27,145,Male,70,5,0,,,14,0,,
12,Sodiq Yusuff,28,145,Male,69,4,1,,,11,2,,
13,Movsar Evloev,29,145,Male,68,5,0,,,15,0,,
14,Shane Burgos,30,145,Male,71,7,3,,,14,3,,
15,Alex Caceres,33,145,Male,70,13,10,,1,18,12,,1
C,Charles Oliveira,32,155,Male,70,19,8,,1,31,8,,1
1,Dustin Poirier,32,155,Male,69,21,6,,1,28,6,,1
2,Justin Gaethje,33,155,Male,71,6,3,,,23,3,,
3,Beneil Dariush,32,155,Male,70,15,4,1,,21,4,1,
4,Islam Makhachev,30,155,Male,70,10,1,,,21,1,,
5,Michael Chandler,35,155,Male,68,1,2,,,22,7,,
6,Rafael Dos Anjos,37,155,Male,68,19,11,,,30,13,,
7,Tony Ferguson,37,155,Male,71,15,4,,,25,6,,
8,Dan Hooker,31,155,Male,72,11,7,,,21,11,,
9,Conor Mcgregor,33,155,Male,68,10,4,,,22,6,,
10,Gregor Gillespie,34,155,Male,69,7,1,,,14,1,,
11,Carlos Diego Ferreira,36,155,Male,68,8,4,,,17,4,,
12,Brad Riddell,30,155,Male,68,4,0,,,10,1,,
13,Arman Tsarukyan,25,155,Male,69,4,1,,,17,2,,
14,Rafael Fiziev,28,155,Male,68,5,1,,,10,1,,
15,Joel Alvarez,28,155,Male,75,4,1,,,19,2,,
C,Kamaru Usman,34,170,Male,72,15,0,,,20,1,,
1,Colby Covington,33,170,Male,71,11,3,,,16,3,,
2,Gilbert Burns,35,170,Male,70,13,4,,,20,4,,
3,Leon Edwards,30,170,Male,72,11,2,,1,19,3,,1
4,Vicente Luque,29,170,Male,71,14,3,,,21,7,1,
5,Stephen Thompson,38,170,Male,72,11,5,1,,16,5,1,
6,Michael Chiesa,33,170,Male,73,11,5,,,18,5,,
7,Jorge Masvidal,37,170,Male,70,14,9,,,35,15,,
8,Neil Magny,34,170,Male,75,18,7,,,25,8,,
